row,activity,reason
20,,Empty directorate or activity
22,,Empty directorate or activity
24,,Empty directorate or activity
26,,Empty directorate or activity
28,,Empty directorate or activity
31,,Empty directorate or activity
32,,Empty directorate or activity
34,,Empty directorate or activity
36,,Empty directorate or activity
37,,Empty directorate or activity
39,,Empty directorate or activity
41,,Empty directorate or activity
43,,Empty directorate or activity
44,,Empty directorate or activity
46,,Empty directorate or activity
48,,Empty directorate or activity
49,,Empty directorate or activity
51,,Empty directorate or activity
53,,Empty directorate or activity
55,,Empty directorate or activity
57,,Empty directorate or activity
59,,Empty directorate or activity
60,,Empty directorate or activity
62,,Empty directorate or activity
64,,Empty directorate or activity
66,,Empty directorate or activity
67,,Empty directorate or activity
68,,Empty directorate or activity
71,,Empty directorate or activity
73,,Empty directorate or activity
74,,Empty directorate or activity
76,,Empty directorate or activity
77,,Empty directorate or activity
79,,Empty directorate or activity
81,,Empty directorate or activity
83,,Empty directorate or activity
85,,Empty directorate or activity
88,,Empty directorate or activity
90,,Empty directorate or activity
93,,Empty directorate or activity
94,,Empty directorate or activity
105,,Empty directorate or activity
107,,Empty directorate or activity
109,,Empty directorate or activity
113,,Empty directorate or activity
115,,Empty directorate or activity
116,,Empty directorate or activity
117,,Empty directorate or activity
125,,Empty directorate or activity
126,,Empty directorate or activity
127,,Empty directorate or activity
129,,Empty directorate or activity
130,,Empty directorate or activity
131,,Empty directorate or activity
133,,Empty directorate or activity
135,,Empty directorate or activity
137,,Empty directorate or activity
138,,Empty directorate or activity
143,,Empty directorate or activity
144,,Empty directorate or activity
145,,Empty directorate or activity
146,,Empty directorate or activity
148,,Empty directorate or activity
149,,Empty directorate or activity
155,,Empty directorate or activity
156,,Empty directorate or activity
158,,Empty directorate or activity
159,,Empty directorate or activity
163,,Empty directorate or activity
165,,Empty directorate or activity
167,,Empty directorate or activity
169,,Empty directorate or activity
170,,Empty directorate or activity
171,,Empty directorate or activity
172,,Empty directorate or activity
174,,Empty directorate or activity
175,,Empty directorate or activity
176,,Empty directorate or activity
177,,Empty directorate or activity
178,,Empty directorate or activity
180,,Empty directorate or activity
181,,Empty directorate or activity
182,,Empty directorate or activity
183,,Empty directorate or activity
184,,Empty directorate or activity
185,,Empty directorate or activity
237,,Empty directorate or activity
253,,Empty directorate or activity
254,,Empty directorate or activity
255,,Empty directorate or activity
257,,Empty directorate or activity
258,,Empty directorate or activity
259,,Empty directorate or activity
262,,Empty directorate or activity
263,,Empty directorate or activity
264,,Empty directorate or activity
265,,Empty directorate or activity
266,,Empty directorate or activity
267,,Empty directorate or activity
269,,Empty directorate or activity
270,,Empty directorate or activity
271,,Empty directorate or activity
272,,Empty directorate or activity
273,,Empty directorate or activity
274,,Empty directorate or activity
275,,Empty directorate or activity
277,,Empty directorate or activity
278,,Empty directorate or activity
279,,Empty directorate or activity
280,,Empty directorate or activity
281,,Empty directorate or activity
282,,Empty directorate or activity
283,,Empty directorate or activity
285,,Empty directorate or activity
286,,Empty directorate or activity
288,,Empty directorate or activity
289,,Empty directorate or activity
290,,Empty directorate or activity
291,,Empty directorate or activity
292,,Empty directorate or activity
294,,Empty directorate or activity
295,,Empty directorate or activity
296,,Empty directorate or activity
297,,Empty directorate or activity
298,,Empty directorate or activity
299,,Empty directorate or activity
300,,Empty directorate or activity
303,,Empty directorate or activity
305,,Empty directorate or activity
306,,Empty directorate or activity
307,,Empty directorate or activity
308,,Empty directorate or activity
310,,Empty directorate or activity
312,,Empty directorate or activity
314,,Empty directorate or activity
315,,Empty directorate or activity
317,,Empty directorate or activity
319,,Empty directorate or activity
321,,Empty directorate or activity
323,,Empty directorate or activity
325,,Empty directorate or activity
327,,Empty directorate or activity
330,,Empty directorate or activity
343,,Empty directorate or activity
356,,Empty directorate or activity
370,,Empty directorate or activity
371,,Empty directorate or activity
372,,Empty directorate or activity
385,,Empty directorate or activity
387,,Empty directorate or activity
388,,Empty directorate or activity
389,,Empty directorate or activity
395,,Empty directorate or activity
397,,Empty directorate or activity
399,,Empty directorate or activity
401,,Empty directorate or activity
402,,Empty directorate or activity
404,,Empty directorate or activity
408,,Empty directorate or activity
414,,Empty directorate or activity
416,,Empty directorate or activity
417,,Empty directorate or activity
418,,Empty directorate or activity
419,,Empty directorate or activity
420,,Empty directorate or activity
422,,Empty directorate or activity
423,,Empty directorate or activity
424,,Empty directorate or activity
425,,Empty directorate or activity
426,,Empty directorate or activity
428,,Empty directorate or activity
429,,Empty directorate or activity
430,,Empty directorate or activity
431,,Empty directorate or activity
432,,Empty directorate or activity
434,,Empty directorate or activity
435,,Empty directorate or activity
436,,Empty directorate or activity
437,,Empty directorate or activity
438,,Empty directorate or activity
439,,Empty directorate or activity
441,,Empty directorate or activity
442,,Empty directorate or activity
443,,Empty directorate or activity
444,,Empty directorate or activity
445,,Empty directorate or activity
447,,Empty directorate or activity
448,,Empty directorate or activity
449,,Empty directorate or activity
450,,Empty directorate or activity
451,,Empty directorate or activity
453,,Empty directorate or activity
454,,Empty directorate or activity
455,,Empty directorate or activity
456,,Empty directorate or activity
457,,Empty directorate or activity
460,,Empty directorate or activity
461,,Empty directorate or activity
462,,Empty directorate or activity
464,,Empty directorate or activity
465,,Empty directorate or activity
467,,Empty directorate or activity
468,,Empty directorate or activity
469,,Empty directorate or activity
470,,Empty directorate or activity
472,,Empty directorate or activity
474,,Empty directorate or activity
475,,Empty directorate or activity
476,,Empty directorate or activity
477,,Empty directorate or activity
479,,Empty directorate or activity
480,,Empty directorate or activity
481,,Empty directorate or activity
482,,Empty directorate or activity
484,,Empty directorate or activity
485,,Empty directorate or activity
486,,Empty directorate or activity
488,,Empty directorate or activity
491,,Empty directorate or activity
494,,Empty directorate or activity
496,,Empty directorate or activity
497,,Empty directorate or activity
499,,Empty directorate or activity
500,,Empty directorate or activity
501,,Empty directorate or activity
502,,Empty directorate or activity
505,,Empty directorate or activity
506,,Empty directorate or activity
508,,Empty directorate or activity
510,,Empty directorate or activity
512,,Empty directorate or activity
514,,Empty directorate or activity
515,,Empty directorate or activity
516,,Empty directorate or activity
517,,Empty directorate or activity
518,,Empty directorate or activity
519,,Empty directorate or activity
520,,Empty directorate or activity
522,,Empty directorate or activity
523,,Empty directorate or activity
525,,Empty directorate or activity
526,,Empty directorate or activity
527,,Empty directorate or activity
528,,Empty directorate or activity
529,,Empty directorate or activity
530,,Empty directorate or activity
532,,Empty directorate or activity
533,,Empty directorate or activity
534,,Empty directorate or activity
536,,Empty directorate or activity
537,,Empty directorate or activity
538,,Empty directorate or activity
539,,Empty directorate or activity
541,,Empty directorate or activity
543,,Empty directorate or activity
544,,Empty directorate or activity
546,,Empty directorate or activity
548,,Empty directorate or activity
549,,Empty directorate or activity
551,,Empty directorate or activity
552,,Empty directorate or activity
553,,Empty directorate or activity
555,,Empty directorate or activity
556,,Empty directorate or activity
558,,Empty directorate or activity
559,,Empty directorate or activity
561,,Empty directorate or activity
562,,Empty directorate or activity
564,,Empty directorate or activity
565,,Empty directorate or activity
567,,Empty directorate or activity
568,,Empty directorate or activity
569,,Empty directorate or activity
570,,Empty directorate or activity
571,,Empty directorate or activity
572,,Empty directorate or activity
574,,Empty directorate or activity
575,,Empty directorate or activity
577,,Empty directorate or activity
578,,Empty directorate or activity
583,,Empty directorate or activity
585,,Empty directorate or activity
587,,Empty directorate or activity
631,,Empty directorate or activity
643,,Empty directorate or activity
644,,Empty directorate or activity
646,,Empty directorate or activity
648,,Empty directorate or activity
650,,Empty directorate or activity
651,,Empty directorate or activity
653,,Empty directorate or activity
654,,Empty directorate or activity
656,,Empty directorate or activity
658,,Empty directorate or activity
659,,Empty directorate or activity
661,,Empty directorate or activity
663,,Empty directorate or activity
664,,Empty directorate or activity
666,,Empty directorate or activity
667,,Empty directorate or activity
668,,Empty directorate or activity
669,,Empty directorate or activity
671,,Empty directorate or activity
672,,Empty directorate or activity
673,,Empty directorate or activity
674,,Empty directorate or activity
675,,Empty directorate or activity
676,,Empty directorate or activity
678,,Empty directorate or activity
679,,Empty directorate or activity
680,,Empty directorate or activity
681,,Empty directorate or activity
682,,Empty directorate or activity
683,,Empty directorate or activity
684,,Empty directorate or activity
685,,Empty directorate or activity
686,,Empty directorate or activity
687,,Empty directorate or activity
688,,Empty directorate or activity
689,,Empty directorate or activity
690,,Empty directorate or activity
691,,Empty directorate or activity
693,,Empty directorate or activity
694,,Empty directorate or activity
695,,Empty directorate or activity
696,,Empty directorate or activity
698,,Empty directorate or activity
699,,Empty directorate or activity
700,,Empty directorate or activity
701,,Empty directorate or activity
702,,Empty directorate or activity
703,,Empty directorate or activity
704,,Empty directorate or activity
705,,Empty directorate or activity
706,,Empty directorate or activity
708,,Empty directorate or activity
709,,Empty directorate or activity
710,,Empty directorate or activity
711,,Empty directorate or activity
714,,Empty directorate or activity
716,,Empty directorate or activity
719,,Empty directorate or activity
722,,Empty directorate or activity
729,,Empty directorate or activity
730,,Empty directorate or activity
731,,Empty directorate or activity
732,,Empty directorate or activity
733,,Empty directorate or activity
735,,Empty directorate or activity
736,,Empty directorate or activity
737,,Empty directorate or activity
738,,Empty directorate or activity
739,,Empty directorate or activity
741,,Empty directorate or activity
742,,Empty directorate or activity
743,,Empty directorate or activity
744,,Empty directorate or activity
745,,Empty directorate or activity
747,,Empty directorate or activity
748,,Empty directorate or activity
749,,Empty directorate or activity
750,,Empty directorate or activity
752,,Empty directorate or activity
753,,Empty directorate or activity
755,,Empty directorate or activity
756,,Empty directorate or activity
